"Provider","Series","Efficiency index at 55°C","Efficiency index at 35°C","Efficiency class at 35°C","Efficiency class at 55°C","Type","Heat output W10/W35 (kW)","Heat output A2/W35 (kW)","Heat output B0/W35 (kW)","COP W10/W35","COP W10/W55","COP A2/W35","COP A7/W55","COP A-7/W55","COP B0/W35","COP B0/W55","Inverter technology","SCOP","Noise level external (dB)","Noise level inside (dB)","Refrigerant","Height inside (cm)","Width inside (cm)","Depth inside (cm)","Height outside (cm)","Width outside (cm)","Depth outside (cm)","EHPA or CH quality label","Link to manufacturer"
"CTA AG","Optipro OP 180ed","145","185","A+++","A+++","earth-water","","","180","","","","","","4.6","2.9","no","4.8","","58","R410A","198","126","86","","","","CH-HP-00956","http://www.cta.ch"
"Stiebel Eltron AG","WPL-A 05 HK 230 Premium","151","185","A+++","A+++","air-water","","2.92","","","","4.6","","2.51","","","yes","","48","","R454C","","","","90","127","59","CH-HP-00925","https://www.stiebel-eltron.ch"
"Buderus","WLW196i.2 6kW IR","141","185","A+++","A++","air-water","","7.6","","","","4.13","2.7","2","","","yes","","36","48","R410A","151","93","47","","","","CH-HP-00666","https://www.buderus.com"
"CTA AG","Optiheat OH 1-6es","128","185","A+++","A++","earth-water","","","5.9","","","","","","4.5","2.6","no","4.67","","24","R410A","126","53","70","","","","CH-HP-00337","http://www.cta.ch/de-ch/waerme/sole-wasser/1218/?oid=1589&lang=de"
"Vaillant GmbH","flexoTHERM exclusive VWF 57/4","131","184","A+++","A++","earth-water","","","5.3","","","","","","4.4","2.9","no","","","41","R410A","118","60","60","","","","CH-HP-00589","http://www.vaillant.ch"
"Vaillant GmbH","versoTHERM VWL 57/5","133","183","A+++","A++","air-water","","3.3","","","","4","2.7","2","","","yes","4.6","52","49","R410A","190","80","75","","","","CH-HP-00814","http://www.vaillant.com"
"CTA AG","Optiheat OH 1-44e","130","183","A+++","A++","earth-water","","","44","","","","","","4.7","2.9","no","4.77","","53","R410A","124","118","76","","","","CH-HP-00472","http://www.cta.ch"
"CTA AG","Optiheat OH 1-72e","129","183","A+++","A++","earth-water","","","72","","","","","","4.6","2.9","no","4.77","","57","R410A","124","118","76","","","","CH-HP-00472","http://www.cta.ch"
"Stiebel Eltron AG","WPL 25 A","187","182","A++","A++","air-water","","8.33","","","","4.17","3.2","2.42","","","yes","","54","","R410A","","","","105","149","59","CH-HP-00465","https://www.stiebel-eltron.ch"
"Vaillant GmbH","aroTHERM plus VWL 125/6","133","182","A+++","A++","air-water","","5.9","","","","4.6","3.1","1.9","","","yes","4.9","59","","R290","","","","157","110","45","CH-HP-00880","http://www.vaillant.com"
"Ochsner Wärmepumpen GmbH","OCHSNER AIR 18","133","182","A+++","A++","air-water","","13.2","","","","4.4","3.36","2.3","","","no","","54","47","R407C","129","60","68","110","129","96","CH-HP-00606","https://www.ochsner.com"
"CTA AG","Optiheat OH 1-5es","128","182","A+++","A++","earth-water","","","5","","","","","","4.5","2.7","no","4.59","","24","R410A","126","53","70","","","","CH-HP-00337","http://www.cta.ch/de-ch/waerme/sole-wasser/1218/?oid=1589&lang=de"
"CTA AG","Optiheat OH 34e DUO HT","127","182","A+++","A++","earth-water","","","35","","","","","","4.5","2.9","no","4.75","","42","R410A","124","118","76","","","","CH-HP-00549","http://www.cta.ch/de-ch/waerme/sole-wasser/1220/?oid=1591&lang=de"
"Stiebel Eltron AG","WPL 19 - I","144","181","A++","A++","air-water","","7.41","","","","4.12","3.3","2.49","","","yes","","","48","R410A","118","80","124","","","","CH-HP-00667","https://www.stiebel-eltron.ch"
"Stiebel Eltron AG","WPL 19 - A","144","181","A++","A++","air-water","","7.41","","","","4.12","3.3","2.49","","","yes","","59","","R410A","","","","143","124","128","CH-HP-00667","https://www.stiebel-eltron.ch"
"Vaillant GmbH","aroTHERM plus VWL 75/6","131","181","A+++","A++","air-water","","3.1","","","","4.1","3.1","2","","","yes","4.6","55","","R290","","","","77","110","45","CH-HP-00880","http://www.vaillant.com"
"CTA AG","Optiheat OH 1-25e","124","181","A+++","A++","earth-water","","","24.6","","","","","","4.6","2.6","no","4.72","","44","R410A","126","53","70","","","","CH-HP-00501","http://www.cta.ch"
"Hoval AG","Belaria comfort ICM (8)","130","181","A+++","A++","air-water","","3.9","","","","4.3","3.1","2","","","yes","","44","44","R410A","183","91","78","","","","CH-HP-00805","http://www.hoval.com"
"Ochsner Wärmepumpen GmbH","TERRA 27","133","181","A+++","A++","earth-water","","","24.45","","","","","","4.4","2.84","no","4.72","","52","R410A","129","60","68","","","","CH-HP-00843","https://www.ochsner.com"
"Stiebel Eltron AG","WPL 24 - I","139","180","A++","A++","air-water","","9.04","","","","4","3.19","2.34","","","yes","","","49","R410A","118","80","124","","","","CH-HP-00667","https://www.stiebel-eltron.ch"
"Stiebel Eltron AG","WPL 24 - A","139","180","A++","A++","air-water","","9.04","","","","4","3.19","2.34","","","yes","","59","","R410A","","","","143","124","128","CH-HP-00667","https://www.stiebel-eltron.ch"
"Vaillant GmbH","aroTHERM VWL 35/5 AS","128","180","A+++","A++","air-water","","2.5","","","","3.8","2.6","1.9","","","no","4.7","53","41","R410A","","","","77","110","45","CH-HP-00787","http://www.vaillant.com"
"Hoval AG","Belaria comfort ICM (13)","136","180","A+++","A++","air-water","","7.1","","","","4.1","2.9","2","","","yes","","51","42","R410A","183","91","78","","","","CH-HP-00805","http://www.hoval.com"
"CTA AG","Aeroheat Inverta AH CI 8is","135","180","A+++","A++","air-water","","4.3","","","","4.1","2.7","2","","","yes","","40","55","R410A","188","85","82","","","","CH-HP-00806","http://www.cta.ch"
"CTA AG","Aeroheat Inverta AH CI 8i","135","180","A+++","A++","air-water","","4.3","","","","4.1","2.7","2","","","yes","","40","55","R410A","142","85","82","","","","CH-HP-00792","http://www.cta.ch"
"CTA AG","Aeroheat Inverta AH CI 8a","135","180","A+++","A++","air-water","","4.3","","","","4.1","2.7","2","","","yes","","52","","R410A","","","","148","85","74","CH-HP-00792","http://www.cta.ch"
"SOLTOP Energie AG","WPL 412","143","180","A+++","A++","air-water","","11.82","","","","3.76","2.98","2.19","","","yes","","47","45","R410A","130","60","65","106","79","109","CH-HP-00804","https://www.soltop-energie.ch/waermepumpen/"
